Track,Artist,Genre,Duration,Popularity
Kesariya,Arijit Singh,Bollywood,232,85
Kesariya,Arijit Singh,Bollywood,232,85
Tum Hi Ho,Arijit Singh,Bollywood,249,92
Tere Vaaste,Varun Jain,Bollywood,207,78
Jhoome Jo Pathaan,Arijit Singh,Bollywood,240,88
Pasoori,Ali Sethi,Bollywood,227,90
Blinding Lights,The Weeknd,Pop,200,98
Blinding Lights,The Weeknd,Pop,200,98
Save Your Tears,The Weeknd,Pop,215,95
Peaches,Justin Bieber,Pop,198,82
Levitating,Dua Lipa,Pop,203,89
Don't Start Now,Dua Lipa,Pop,183,85
Bad Guy,Billie Eilish,Alternative,194,91
Happier Than Ever,Billie Eilish,Alternative,242,88
Lonely,Akon,R&B,218,75
Smack That,Akon,R&B,221,79
Talk,Khalid,R&B,200,72
Better,Khalid,R&B,189,74
Starboy,The Weeknd,Pop,210,93
One Dance,Drake,Hip-Hop,173,86
God's Plan,Drake,Hip-Hop,198,90
Hotline Bling,Drake,Hip-Hop,267,84
The Box,Roddy Ricch,Hip-Hop,195,81
Rockstar,DaBaby,Hip-Hop,181,77
Shape of You,Ed Sheeran,Pop,233,96
Perfect,Ed Sheeran,Pop,263,94
Castle on the Hill,Ed Sheeran,Pop,261,88
Ocean Eyes,Billie Eilish,Alternative,200,85
Goosebumps,Travis Scott,Hip-Hop,215,83
Highest in the Room,Travis Scott,Hip-Hop,179,80
Redbone,Childish Gambino,R&B,326,76
Summertime Magic,Childish Gambino,R&B,195,73
Positions,Ariana Grande,Pop,173,87
7 Rings,Ariana Grande,Pop,179,89
Rain on Me,Lady Gaga,Pop,182,84
Shallow,Lady Gaga,Pop,216,92
Thunder,Imagine Dragons,Rock,187,79
Believer,Imagine Dragons,Rock,204,88
Radioactive,Imagine Dragons,Rock,186,85
Sweet Child O' Mine,Guns N' Roses,Rock,356,91
Paradise City,Guns N' Roses,Rock,406,89
Numb,Linkin Park,Rock,187,90
In The End,Linkin Park,Rock,216,93
Kalank Title Track,Arijit Singh,Bollywood,278,80
Apna Bana Le,Arijit Singh,Bollywood,258,86
Tera Yaar Hoon Main,Arijit Singh,Bollywood,256,84
Naatu Naatu,Rahul Sipligunj,Bollywood,215,95
Ghungroo,Arijit Singh,Bollywood,238,78
Dil Diyan Gallan,Atif Aslam,Bollywood,230,83
Badtameez Dil,Benny Dayal,Bollywood,211,79
Sooraj Dooba Hain,Arijit Singh,Bollywood,216,81
Nashe Si Chadh Gayi,Arijit Singh,Bollywood,233,82
